"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"90",11,11,"🇷🇺","Tarasova / Morozov",68.64,71.32,139.96,2.24,8.9,2020,"GPRUS","FS"
"91",12,12,"🇷🇺","Tarasova / Morozov",66.94,72.27,138.21,2.24,9.02,2021,"CHACUP","FS"
"92",13,13,"🇷🇺","Tarasova / Morozov",66.21,71.28,137.49,1.9,8.89,2022,"GPJPN","FS"
"93",14,14,"🇷🇺","Tarasova / Morozov",67.99,69.4,135.39,2.13,8.66,2022,"FINTRO","FS"
"94",15,15,"🇷🇺","Tarasova / Morozov",65.35,70.79,135.14,1.94,8.86,2020,"EC","FS"
"95",16,16,"🇷🇺","Tarasova / Morozov",64,69.61,133.61,1.54,8.72,2019,"GPUSA","FS"
"96",17,17,"🇷🇺","Tarasova / Morozov",59.22,69.5,128.72,2.11,8.65,2020,"GPCAN","FS"
"97",18,18,"🇷🇺","Tarasova / Morozov",59.32,67.39,125.71,0.94,8.46,2019,"FINTRO","FS"
"98",19,19,"🇷🇺","Tarasova / Morozov",55.2,64.64,119.84,1.01,8.03,2020,"USCLA","FS"
"99",20,20,"🇷🇺","Tarasova / Morozov",46.04,38.21,84.25,4.11,9.55,2022,"OLY","SP"
"100",21,21,"🇷🇺","Tarasova / Morozov",44.01,37.57,81.58,3.58,9.39,2022,"EC","SP"
"101",22,22,"🇷🇺","Tarasova / Morozov",44.14,37.07,81.21,3.83,9.26,2019,"WC","SP"
"102",23,23,"🇷🇺","Tarasova / Morozov",43.27,37.09,80.36,3.56,9.27,2022,"GPUSA","SP"
"103",24,24,"🇷🇺","Tarasova / Morozov",42.72,37.04,79.76,3.33,9.27,2022,"WARCUP","SP"
"104",25,25,"🇷🇺","Tarasova / Morozov",42.32,37.32,79.64,3.44,9.28,2021,"CHACUP","SP"
"105",26,26,"🇷🇺","Tarasova / Morozov",43.21,35.26,78.47,3.47,8.81,2019,"GPRUS","SP"
"106",27,27,"🇷🇺","Tarasova / Morozov",42.59,35.74,78.33,3.3,8.95,2022,"FINTRO","SP"
"107",28,28,"🇷🇺","Tarasova / Morozov",41.12,35.69,76.81,2.45,8.89,2020,"GPRUS","SP"
"108",29,29,"🇷🇺","Tarasova / Morozov",40.91,36.06,75.97,2.57,8.99,2022,"CRNCUP","SP"
"109",30,30,"🇷🇺","Tarasova / Morozov",40.58,36.2,75.78,2.46,9.05,2022,"GPJPN","SP"
"110",31,31,"🇷🇺","Tarasova / Morozov",40.97,34.88,74.85,3.02,8.65,2020,"USCLA","SP"
"111",32,32,"🇷🇺","Tarasova / Morozov",39.64,35.4,74.04,2.44,8.86,2019,"GPF","SP"
"112",33,33,"🇷🇺","Tarasova / Morozov",38.5,35.4,73.9,2.38,8.86,2019,"EC","SP"
"113",34,34,"🇷🇺","Tarasova / Morozov",38.77,34.8,73.57,2.59,8.69,2020,"GPCAN","SP"
"114",35,35,"🇷🇺","Tarasova / Morozov",37.81,35.69,73.5,2.24,8.94,2020,"EC","SP"
"115",36,36,"🇷🇺","Tarasova / Morozov",38.23,35.04,73.27,2.38,8.75,2019,"FINTRO","SP"
"116",37,37,"🇷🇺","Tarasova / Morozov",36.3,36.16,71.46,2.26,9.04,2021,"WC","SP"
"117",38,38,"🇷🇺","Tarasova / Morozov",36.67,34.57,71.24,1.65,8.65,2019,"GPUSA","SP"
"118",1,1,"🇷🇺","Boikova / Kozlovskii",78.16,74.08,152.24,3.49,9.26,2020,"EC","FS"
"119",2,2,"🇷🇺","Boikova / Kozlovskii",77,73.97,150.97,3.35,9.23,2022,"EC","FS"
"120",3,3,"🇷🇺","Boikova / Kozlovskii",76.48,72.86,149.34,3.31,9.11,2020,"GPRUS","FS"
"121",4,4,"🇷🇺","Boikova / Kozlovskii",70.75,71.16,141.91,2.26,8.87,2022,"OLY","FS"
"122",5,5,"🇷🇺","Boikova / Kozlovskii",72.65,67.66,140.31,2.9,8.46,2019,"WC","FS"
"123",6,6,"🇷🇺","Boikova / Kozlovskii",71.7,68.56,140.26,2.89,8.58,2020,"GPCAN","FS"
"124",7,7,"🇷🇺","Boikova / Kozlovskii",68.03,71.76,139.79,1.92,8.98,2022,"GPFRA","FS"
"125",8,8,"🇷🇺","Boikova / Kozlovskii",67.32,71.15,137.47,1.87,8.88,2021,"WC","FS"
"126",9,9,"🇷🇺","Boikova / Kozlovskii",66.57,66.13,132.7,2.24,8.27,2019,"EC","FS"
"127",10,10,"🇷🇺","Boikova / Kozlovskii",70.15,61.82,131.97,2.45,7.72,2019,"GPCAN","FS"
"128",11,11,"🇷🇺","Boikova / Kozlovskii",63.76,68.34,130.1,1.23,8.53,2022,"GPUSA","FS"
"129",12,12,"🇷🇺","Boikova / Kozlovskii",66.62,60.16,126.78,1.9,7.46,2019,"LOMTRO","FS"
"130",13,13,"🇷🇺","Boikova / Kozlovskii",62.04,65.19,126.23,1.78,8.2,2020,"SHATRO","FS"
"131",14,14,"🇷🇺","Boikova / Kozlovskii",58.55,66.64,125.19,0.84,8.34,2020,"GPF","FS"
"132",15,15,"🇷🇺","Boikova / Kozlovskii",59.37,62.64,121.01,1.19,7.82,2019,"GPFRA","FS"
"133",16,16,"🇷🇺","Boikova / Kozlovskii",61.03,60.7,120.73,0.95,7.56,2019,"FINTRO","FS"
