"","","#","Nat","Skater","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"181",5,5,"🇷🇺","Elizaveta Tuktamysheva",76.13,73.28,149.41,2.37,9.19,2022,"RUSCUP1","FS"
"182",6,6,"🇷🇺","Elizaveta Tuktamysheva",78.69,70.44,149.13,1.86,8.79,2022,"GPRUS","FS"
"183",7,7,"🇷🇺","Elizaveta Tuktamysheva",76.34,72.64,148.98,2.57,9.09,2019,"RUSCUPF","FS"
"184",8,8,"🇷🇺","Elizaveta Tuktamysheva",77.17,71.52,148.69,1.95,8.98,2021,"GPRUS","FS"
"185",9,9,"🇷🇺","Elizaveta Tuktamysheva",80.93,67.36,148.29,2.48,8.46,2020,"GLDSPN","FS"
"186",10,10,"🇷🇺","Elizaveta Tuktamysheva",74.51,73.76,148.27,2.44,9.2,2021,"RUSCUPF","FS"
"187",11,11,"🇷🇺","Elizaveta Tuktamysheva",76.87,69.36,146.23,1.71,8.66,2021,"WTT","FS"
"188",12,12,"🇷🇺","Elizaveta Tuktamysheva",78.06,66.61,144.67,2.25,8.21,2019,"GPF","FS"
"189",13,13,"🇷🇺","Elizaveta Tuktamysheva",77.03,66.5,143.53,1.91,8.26,2020,"GPCHN","FS"
"190",14,14,"🇷🇺","Elizaveta Tuktamysheva",76.21,66.64,142.85,2.46,8.32,2019,"GPJPN","FS"
"191",15,15,"🇷🇺","Elizaveta Tuktamysheva",73.52,69.08,141.6,1.2,8.64,2021,"WC","FS"
"192",16,16,"🇷🇺","Elizaveta Tuktamysheva",76.48,64.24,140.72,1.67,8.03,2020,"LOMTRO","FS"
"193",17,17,"🇷🇺","Elizaveta Tuktamysheva",72.3,68.08,140.38,2.39,8.46,2019,"LOMTRO","FS"
"194",18,18,"🇷🇺","Elizaveta Tuktamysheva",72.31,67.56,139.87,2.1,8.46,2020,"FINTRO","FS"
"195",19,19,"🇷🇺","Elizaveta Tuktamysheva",74.39,64.3,138.69,1.76,7.99,2020,"GPUSA","FS"
"196",20,20,"🇷🇺","Elizaveta Tuktamysheva",66.94,68.96,135.9,1.14,8.59,2021,"RUSCUP3","FS"
"197",21,21,"🇷🇺","Elizaveta Tuktamysheva",61.28,70.41,130.69,0.99,8.83,2021,"NATRUS","FS"
"198",22,22,"🇷🇺","Elizaveta Tuktamysheva",65.26,64.84,129.1,1.36,8.09,2019,"GPCAN","FS"
"199",23,23,"🇷🇺","Elizaveta Tuktamysheva",67.69,62.33,129.02,1.14,7.78,2019,"FINTRO","FS"
"200",24,24,"🇷🇺","Elizaveta Tuktamysheva",61.56,68.33,128.89,0.41,8.54,2020,"NATRUS","FS"
"201",25,25,"🇷🇺","Elizaveta Tuktamysheva",60.05,62.4,122.45,1.28,7.76,2019,"DRATRO","FS"
"202",26,26,"🇷🇺","Elizaveta Tuktamysheva",45.89,35.64,81.53,3.32,8.92,2022,"FINTRO","SP"
"203",27,27,"🇷🇺","Elizaveta Tuktamysheva",45.73,35.51,81.24,2.82,8.87,2022,"GPCAN","SP"
"204",28,28,"🇷🇺","Elizaveta Tuktamysheva",45.86,34.68,80.54,3.11,8.68,2019,"WTT","SP"
"205",29,29,"🇷🇺","Elizaveta Tuktamysheva",45.43,34.92,80.35,2.71,8.74,2021,"WTT","SP"
"206",30,30,"🇷🇺","Elizaveta Tuktamysheva",44.56,35.54,80.1,2.48,8.89,2022,"GPRUS","SP"
"207",31,31,"🇷🇺","Elizaveta Tuktamysheva",44.39,34.47,78.86,2.57,8.61,2021,"WC","SP"
"208",32,32,"🇷🇺","Elizaveta Tuktamysheva",41.66,36.08,77.74,2.41,9.02,2021,"RUSCUPF","SP"
"209",33,33,"🇷🇺","Elizaveta Tuktamysheva",42.6,34.76,77.36,2.31,8.72,2021,"RUSCUP3","SP"
"210",34,34,"🇷🇺","Elizaveta Tuktamysheva",43.18,32.99,76.17,2.73,8.29,2019,"GPJPN","SP"
"211",35,35,"🇷🇺","Elizaveta Tuktamysheva",41.09,34.65,75.74,2.15,8.67,2020,"NATRUS","SP"
"212",36,36,"🇷🇺","Elizaveta Tuktamysheva",39.78,34.92,74.7,1.92,8.74,2021,"GPRUS","SP"
"213",37,37,"🇷🇺","Elizaveta Tuktamysheva",42.39,31.83,74.22,2.42,7.94,2019,"GPCAN","SP"
"214",38,38,"🇷🇺","Elizaveta Tuktamysheva",42.03,31.8,73.83,2.54,7.92,2019,"FINTRO","SP"
"215",39,39,"🇷🇺","Elizaveta Tuktamysheva",41.9,31.76,73.66,1.96,7.97,2020,"LOMTRO","SP"
"216",40,40,"🇷🇺","Elizaveta Tuktamysheva",39.16,35.4,73.56,1.9,8.85,2021,"NATRUS","SP"
"217",41,41,"🇷🇺","Elizaveta Tuktamysheva",41.58,32.28,72.86,2.24,8,2020,"GLDSPN","SP"
"218",42,42,"🇷🇺","Elizaveta Tuktamysheva",39.72,32.94,72.66,1.67,8.24,2020,"FINTRO","SP"
"219",43,43,"🇷🇺","Elizaveta Tuktamysheva",37.69,35.52,72.21,2.06,8.88,2019,"RUSCUPF","SP"
"220",44,44,"🇷🇺","Elizaveta Tuktamysheva",36.97,35.31,71.28,1.78,8.84,2022,"NATRUS","SP"
"221",45,45,"🇷🇺","Elizaveta Tuktamysheva",35.66,35,70.66,2.56,8.76,2022,"RUSCUP1","SP"
"222",46,46,"🇷🇺","Elizaveta Tuktamysheva",38.25,32.4,70.65,1.7,8.03,2019,"GPF","SP"
"223",47,47,"🇷🇺","Elizaveta Tuktamysheva",36.42,30.86,67.28,0.85,7.71,2020,"GPUSA","SP"
