"","","#","Nat","Skater","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"106",21,21,"🇯🇵","Yuma Kagiyama",69.92,67,136.92,1.49,6.71,2019,"JGPARM","FS"
"107",22,22,"🇯🇵","Yuma Kagiyama",71.59,66.3,136.89,1.33,6.58,2019,"NATJPN","FS"
"108",23,23,"🇯🇵","Yuma Kagiyama",52.71,66.42,119.13,1.02,6.66,2019,"JGPCAN","FS"
"109",24,24,"🇯🇵","Yuma Kagiyama",60.91,47.21,108.12,3.87,9.46,2022,"OLY","SP"
"110",25,25,"🇯🇵","Yuma Kagiyama",58.62,47.07,105.69,3.33,9.41,2022,"WC","SP"
"111",26,26,"🇯🇵","Yuma Kagiyama",57.86,43.1,100.96,2.84,8.57,2021,"WC","SP"
"112",27,27,"🇯🇵","Yuma Kagiyama",55.42,45.22,100.64,2.62,9,2022,"GPFRA","SP"
"113",28,28,"🇯🇵","Yuma Kagiyama",56.04,42.56,98.6,3.48,8.53,2021,"NATJPN","SP"
"114",29,29,"🇯🇵","Yuma Kagiyama",54.14,43.66,97.8,2.88,8.74,2022,"ASNTRO","SP"
"115",30,30,"🇯🇵","Yuma Kagiyama",51.15,45,95.15,2.08,9.01,2022,"NATJPN","SP"
"116",31,31,"🇯🇵","Yuma Kagiyama",52.39,39.22,91.61,2.66,7.8,2020,"4CC","SP"
"117",32,32,"🇯🇵","Yuma Kagiyama",47.31,39.95,87.26,2.93,7.99,2021,"GPJPN","SP"
"118",33,33,"🇯🇵","Yuma Kagiyama",46.93,38.89,85.82,3.17,7.81,2020,"WJC","SP"
"119",34,34,"🇯🇵","Yuma Kagiyama",46.82,37.9,84.72,3.06,7.59,2020,"JGPPOL","SP"
"120",35,35,"🇯🇵","Yuma Kagiyama",43.94,36.67,80.61,2.59,7.36,2020,"JGPFRA","SP"
"121",36,36,"🇯🇵","Yuma Kagiyama",37.77,42.76,80.53,1.37,8.54,2022,"GPITA","SP"
"122",37,37,"🇯🇵","Yuma Kagiyama",41.52,38.4,79.92,2.27,7.67,2020,"NATJPN","SP"
"123",38,38,"🇯🇵","Yuma Kagiyama",43.32,35.65,78.97,2.17,7.11,2019,"CHACUP","SP"
"124",39,39,"🇯🇵","Yuma Kagiyama",40.49,36.92,77.41,2.37,7.39,2020,"NATJPN","SP"
"125",40,40,"🇯🇵","Yuma Kagiyama",42.86,32.74,75.6,2.07,6.54,2019,"JGPCAN","SP"
"126",41,41,"🇯🇵","Yuma Kagiyama",40.91,33.6,74.51,1.69,6.76,2019,"NATJPN","SP"
"127",42,42,"🇯🇵","Yuma Kagiyama",36.92,36.84,72.76,1.49,7.37,2020,"YOG","SP"
"128",43,43,"🇯🇵","Yuma Kagiyama",34.01,37.18,71.19,1.57,7.42,2020,"JGPF","SP"
"129",44,44,"🇯🇵","Yuma Kagiyama",31.93,33.17,65.1,1.21,6.66,2019,"JGPARM","SP"
"130",45,45,"🇯🇵","Yuma Kagiyama",29.01,32.7,60.71,1.1,6.53,2019,"NATJPN","SP"
"131",1,1,"🇯🇵","Yuzuru Hanyu",118.61,97.22,215.83,3.73,9.68,2021,"NATJPN","FS"
"132",2,2,"🇯🇵","Yuzuru Hanyu",116.59,96.4,212.99,3.23,9.64,2020,"GPCAN","FS"
"133",3,3,"🇯🇵","Yuzuru Hanyu",114.25,96.8,211.05,3.6,9.68,2022,"NATJPN","FS"
"134",4,4,"🇯🇵","Yuzuru Hanyu",110.26,95.84,206.1,3.16,9.58,2019,"WC","FS"
"135",5,5,"🇯🇵","Yuzuru Hanyu",101.57,94.14,195.71,3.05,9.4,2020,"GPJPN","FS"
"136",6,6,"🇯🇵","Yuzuru Hanyu",100.36,93.64,194,2.5,9.33,2020,"GPF","FS"
"137",7,7,"🇯🇵","Yuzuru Hanyu",99.26,94.5,193.76,3.26,9.42,2021,"WTT","FS"
"138",8,8,"🇯🇵","Yuzuru Hanyu",98.01,92.42,190.43,2.24,9.24,2019,"GPFIN","FS"
"139",9,9,"🇯🇵","Yuzuru Hanyu",99.62,90.44,188.06,2.05,9.03,2022,"OLY","FS"
"140",10,10,"🇯🇵","Yuzuru Hanyu",97.32,91.28,187.6,1.8,9.15,2020,"4CC","FS"
"141",11,11,"🇯🇵","Yuzuru Hanyu",89.78,92.42,182.2,1.09,9.26,2021,"WC","FS"
"142",12,12,"🇯🇵","Yuzuru Hanyu",90.97,89.7,180.67,1.42,8.99,2020,"ATMCLA","FS"
"143",13,13,"🇯🇵","Yuzuru Hanyu",83.33,89.72,172.05,0.68,8.98,2020,"NATJPN","FS"
"144",14,14,"🇯🇵","Yuzuru Hanyu",78.25,90.64,167.89,1.66,9.08,2019,"GPRUS","FS"
"145",15,15,"🇯🇵","Yuzuru Hanyu",79.01,87.9,165.91,1.9,8.8,2019,"ATMCLA","FS"
"146",16,16,"🇯🇵","Yuzuru Hanyu",63.42,48.4,111.82,4.14,9.68,2020,"4CC","SP"
"147",17,17,"🇯🇵","Yuzuru Hanyu",62.28,49.03,111.31,4.16,9.8,2022,"NATJPN","SP"
"148",18,18,"🇯🇵","Yuzuru Hanyu",62.33,48.39,110.72,3.95,9.67,2020,"NATJPN","SP"
"149",19,19,"🇯🇵","Yuzuru Hanyu",62.44,48.09,110.53,3.92,9.63,2019,"GPRUS","SP"
"150",20,20,"🇯🇵","Yuzuru Hanyu",61.13,48.47,109.6,3.87,9.64,2020,"GPCAN","SP"
