"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"192",24,24,"🇷🇺","Stepanova / Bukin",43.86,37.51,81.37,3.4,9.36,2019,"EC","RD"
"193",25,25,"🇷🇺","Stepanova / Bukin",44.14,37,81.14,3.09,9.25,2020,"GPF","RD"
"194",26,26,"🇷🇺","Stepanova / Bukin",42.97,36.92,79.89,3.09,9.22,2022,"GPFRA","RD"
"195",27,27,"🇷🇺","Stepanova / Bukin",42.74,36.42,79.16,3.52,9.09,2019,"FINTRO","RD"
"196",28,28,"🇷🇺","Stepanova / Bukin",42.14,36.04,78.18,2.98,9,2019,"GPFIN","RD"
"197",29,29,"🇷🇺","Stepanova / Bukin",40.57,36.63,77.2,3.31,9.14,2019,"GPF","RD"
"198",30,30,"🇷🇺","Stepanova / Bukin",37.3,37.19,74.49,3.05,9.27,2019,"GPRUS","RD"
"199",1,1,"🇮🇹","Guignard / Fabbri",69.7,56.4,126.1,3.49,9.41,2022,"ICECHA","FD"
"200",2,2,"🇮🇹","Guignard / Fabbri",69.91,55.79,125.7,3.62,9.31,2022,"WC","FD"
"201",3,3,"🇮🇹","Guignard / Fabbri",69.37,55.38,124.75,3.4,9.23,2021,"WTT","FD"
"202",4,4,"🇮🇹","Guignard / Fabbri",69.37,55.25,124.62,3.43,9.21,2022,"EC","FD"
"203",5,5,"🇮🇹","Guignard / Fabbri",69.22,55.15,124.37,3.43,9.19,2022,"OLY","FD"
"204",6,6,"🇮🇹","Guignard / Fabbri",69.48,54.68,124.16,3.43,9.13,2021,"WC","FD"
"205",7,7,"🇮🇹","Guignard / Fabbri",68.75,55.4,124.15,3.38,9.24,2022,"GPRUS","FD"
"206",8,8,"🇮🇹","Guignard / Fabbri",69.56,54.13,123.69,3.21,8.97,2020,"GPFRA","FD"
"207",9,9,"🇮🇹","Guignard / Fabbri",67.33,55.98,123.31,3.17,9.32,2022,"LOMTRO","FD"
"208",10,10,"🇮🇹","Guignard / Fabbri",67.49,55.14,122.63,3.33,9.21,2020,"LOMTRO","FD"
"209",11,11,"🇮🇹","Guignard / Fabbri",67.99,54.3,122.29,3.6,9.05,2019,"WTT","FD"
"210",12,12,"🇮🇹","Guignard / Fabbri",67.02,54.21,121.23,3.39,9.01,2022,"GPCAN","FD"
"211",13,13,"🇮🇹","Guignard / Fabbri",66.2,54.72,120.92,3.24,9.13,2020,"EC","FD"
"212",14,14,"🇮🇹","Guignard / Fabbri",65.61,55.18,120.79,3.37,9.21,2019,"EC","FD"
"213",15,15,"🇮🇹","Guignard / Fabbri",66.38,53.97,120.35,3.43,9.01,2019,"GPF","FD"
"214",16,16,"🇮🇹","Guignard / Fabbri",66.83,53.1,118.93,3.41,8.84,2019,"GPFIN","FD"
"215",17,17,"🇮🇹","Guignard / Fabbri",64.39,54.48,118.87,3.02,9.07,2020,"GLDSPN","FD"
"216",18,18,"🇮🇹","Guignard / Fabbri",64.91,53.52,118.43,3.36,8.91,2019,"ALPTRO","FD"
"217",19,19,"🇮🇹","Guignard / Fabbri",64.07,53.45,117.52,3.08,8.88,2019,"WC","FD"
"218",20,20,"🇮🇹","Guignard / Fabbri",65.35,51.94,117.29,3.21,8.67,2019,"GPUSA","FD"
"219",21,21,"🇮🇹","Guignard / Fabbri",64.57,52.68,117.25,3.17,8.78,2019,"LOMTRO","FD"
"220",22,22,"🇮🇹","Guignard / Fabbri",64.37,52.56,115.93,2.47,8.76,2020,"GPJPN","FD"
"221",23,23,"🇮🇹","Guignard / Fabbri",48.17,36.49,84.66,3.44,9.09,2020,"EC","RD"
"222",24,24,"🇮🇹","Guignard / Fabbri",47.24,36.98,84.22,3.44,9.23,2022,"WC","RD"
"223",25,25,"🇮🇹","Guignard / Fabbri",47.12,36.71,83.83,3.04,9.17,2022,"OLYT","RD"
"224",26,26,"🇮🇹","Guignard / Fabbri",46.67,36.68,83.35,3.29,9.18,2022,"EC","RD"
"225",27,27,"🇮🇹","Guignard / Fabbri",46.39,36.92,83.31,3.31,9.15,2020,"GLDSPN","RD"
"226",28,28,"🇮🇹","Guignard / Fabbri",46.41,36.52,82.93,2.89,9.13,2021,"WTT","RD"
"227",29,29,"🇮🇹","Guignard / Fabbri",46.14,36.64,82.78,2.94,9.16,2022,"ICECHA","RD"
"228",30,30,"🇮🇹","Guignard / Fabbri",45.85,36.83,82.68,3.18,9.19,2022,"OLY","RD"
"229",31,31,"🇮🇹","Guignard / Fabbri",46.47,35.66,82.13,2.91,8.91,2020,"GPJPN","RD"
"230",32,32,"🇮🇹","Guignard / Fabbri",45.41,36.64,82.05,2.94,9.11,2022,"LOMTRO","RD"
"231",33,33,"🇮🇹","Guignard / Fabbri",45.47,36.19,81.66,3.31,9.06,2019,"WC","RD"
"232",34,34,"🇮🇹","Guignard / Fabbri",45.04,36,81.04,2.87,9.01,2021,"WC","RD"
"233",35,35,"🇮🇹","Guignard / Fabbri",44.25,36,80.25,3.27,9,2019,"WTT","RD"
"234",36,36,"🇮🇹","Guignard / Fabbri",44.17,35.48,79.65,2.35,8.84,2020,"GPFRA","RD"
